Lot Area,Lot Shape,Overall Qual,Mas Vnr Area,Exter Qual,Bsmt Qual,Bsmt Cond,BsmtFin Type 1,BsmtFin SF 1,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,SalePrice,vintage,new_age,garage_age,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone
12000,4,5,0.0,3,3,3,6,144.0,924.0,5,1,1122,1122,1,4,6,0,2.0,528.0,147000,72,15,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11841,4,6,104.0,3,4,3,6,816.0,816.0,3,1,816,816,1,3,5,0,0.0,0.0,118500,30,30,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8760,4,8,132.0,4,4,3,6,36.0,1489.0,5,1,1500,1500,2,4,7,1,2.0,674.0,212999,14,14,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9405,4,5,0.0,3,3,3,1,0.0,698.0,5,1,698,698,1,3,4,0,0.0,0.0,118000,73,12,73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13837,3,7,178.0,4,4,4,6,1002.0,1204.0,4,1,1377,2183,2,4,9,0,3.0,786.0,229000,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9600,4,5,132.0,3,3,3,5,991.0,1041.0,5,1,1041,1041,1,3,6,0,1.0,270.0,124500,61,61,61,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10141,3,7,40.0,3,4,3,1,0.0,832.0,4,1,885,1718,2,3,7,1,2.0,427.0,185000,22,22,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11885,4,8,108.0,4,4,3,6,990.0,1299.0,5,1,1299,1872,2,5,7,1,2.0,531.0,261500,19,19,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11235,4,5,30.0,3,4,3,4,785.0,1420.0,4,1,1452,1452,1,3,6,1,2.0,572.0,158450,56,40,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8820,4,5,0.0,3,3,3,2,1088.0,1088.0,3,1,1188,1869,1,3,7,0,2.0,456.0,124900,130,24,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12292,3,9,184.0,4,5,4,6,205.0,1094.0,5,1,1102,2473,2,4,11,1,3.0,675.0,356383,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9350,4,5,0.0,3,3,3,5,360.0,720.0,4,1,720,1440,1,3,7,1,2.0,480.0,157500,56,56,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7500,4,6,0.0,4,4,3,6,476.0,952.0,4,1,952,1636,2,3,7,1,2.0,440.0,191000,22,21,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9044,3,8,526.0,4,4,3,6,1225.0,1325.0,5,1,1335,2538,2,4,8,1,3.0,933.0,330000,24,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9600,4,5,0.0,3,3,3,4,390.0,1200.0,3,1,1200,1200,1,3,6,0,1.0,246.0,129900,70,70,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9000,4,5,0.0,3,3,3,5,773.0,1059.0,4,1,1059,1059,1,3,6,0,1.0,286.0,142500,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5664,3,8,0.0,4,4,3,6,1158.0,1501.0,5,1,1659,1659,2,5,5,1,2.0,499.0,278000,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
13517,3,6,289.0,4,3,3,6,533.0,725.0,5,1,725,1479,2,4,6,0,2.0,475.0,130500,44,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
10574,3,8,126.0,4,5,3,6,856.0,1148.0,5,1,1170,2332,2,5,9,1,3.0,756.0,316000,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8750,4,6,120.0,3,4,3,6,606.0,928.0,5,1,928,1772,2,3,7,1,2.0,492.0,200000,22,22,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11050,4,7,0.0,3,4,3,1,0.0,910.0,5,1,910,1820,2,4,8,1,3.0,816.0,213000,24,23,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4740,3,8,0.0,4,4,3,6,248.0,1166.0,4,1,1179,1179,2,3,5,0,2.0,480.0,182000,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
12800,4,7,145.0,4,4,3,6,1518.0,1518.0,4,1,1644,1644,2,4,5,1,2.0,569.0,275000,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
21750,4,5,0.0,3,3,3,1,0.0,988.0,5,1,988,988,1,3,4,0,2.0,520.0,113000,66,66,66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13050,4,5,0.0,3,4,3,3,104.0,1000.0,5,1,1000,1000,1,3,4,2,2.0,575.0,164000,57,57,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10000,3,6,0.0,3,4,3,1,0.0,763.0,4,1,763,1655,2,3,7,1,2.0,440.0,175900,27,26,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13383,3,5,176.0,3,3,3,4,594.0,1188.0,5,1,1404,1404,2,3,7,1,2.0,504.0,160000,51,20,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10425,4,5,0.0,3,3,3,3,774.0,1104.0,4,1,1104,1104,1,3,5,0,1.0,384.0,133000,64,62,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14300,4,9,1095.0,5,5,3,6,1373.0,2846.0,5,1,2696,2696,2,5,10,2,3.0,958.0,500000,17,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11096,4,8,0.0,4,4,3,6,24.0,1656.0,5,1,1656,1656,2,4,7,0,3.0,826.0,249700,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5000,4,5,0.0,3,3,3,1,0.0,540.0,4,0,889,1440,1,3,6,0,1.0,352.0,79000,120,70,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10926,4,5,74.0,3,3,3,1,0.0,1678.0,3,1,1678,1678,2,3,10,0,0.0,0.0,119900,61,61,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7733,3,6,0.0,3,3,3,6,24.0,1142.0,5,1,1142,1142,1,4,5,0,0.0,0.0,139500,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
15750,4,8,260.0,4,4,3,6,1246.0,1462.0,5,1,1513,1513,2,4,5,1,2.0,521.0,220000,21,20,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11777,3,5,97.0,3,3,3,2,328.0,1164.0,5,1,1320,1320,1,3,6,2,2.0,564.0,164500,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8155,4,5,0.0,3,4,3,1,0.0,780.0,4,1,780,1200,1,3,7,0,0.0,0.0,119000,90,70,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8139,4,6,119.0,3,4,3,5,476.0,680.0,4,1,680,1470,2,3,7,1,2.0,420.0,165000,25,24,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7810,3,4,0.0,3,3,4,6,189.0,930.0,5,1,1230,1755,2,4,7,1,1.0,231.0,188000,90,17,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11000,2,5,0.0,3,4,3,2,1090.0,1090.0,3,1,1178,1178,1,3,6,0,2.0,502.0,135000,44,17,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8899,4,8,108.0,5,4,3,6,40.0,948.0,5,1,948,2088,2,4,10,1,3.0,656.0,250000,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8970,3,5,0.0,3,3,3,5,388.0,744.0,3,1,825,2140,2,3,7,1,2.0,549.0,177500,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7200,4,5,0.0,3,2,3,2,432.0,876.0,3,1,876,876,1,3,5,1,2.0,576.0,94000,69,69,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
