Lot Area,Overall Qual,Mas Vnr Area,Exter Qual,Bsmt Qual,BsmtFin Type 1,BsmtFin SF 1,Heating QC,1st Flr SF,Gr Liv Area,Kitchen Qual,Fireplaces,Garage Area,SalePrice,vintage,new_age,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_ClearCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_NPkVill,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Foundation_PConc,Foundation_Slab
12000,5,0.0,3,3,6,144.0,5,1122,1122,4,0,528.0,147000,72,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11841,6,104.0,3,4,6,816.0,3,816,816,3,0,0.0,118500,30,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8760,8,132.0,4,4,6,36.0,5,1500,1500,4,1,674.0,212999,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9405,5,0.0,3,3,1,0.0,5,698,698,3,0,0.0,118000,73,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13837,7,178.0,4,4,6,1002.0,4,1377,2183,4,0,786.0,229000,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9600,5,132.0,3,3,5,991.0,5,1041,1041,3,0,270.0,124500,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10141,7,40.0,3,4,1,0.0,4,885,1718,3,1,427.0,185000,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11885,8,108.0,4,4,6,990.0,5,1299,1872,5,1,531.0,261500,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11235,5,30.0,3,4,4,785.0,4,1452,1452,3,1,572.0,158450,56,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8820,5,0.0,3,3,2,1088.0,3,1188,1869,3,0,456.0,124900,130,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12292,9,184.0,4,5,6,205.0,5,1102,2473,4,1,675.0,356383,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9350,5,0.0,3,3,5,360.0,4,720,1440,3,1,480.0,157500,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7500,6,0.0,4,4,6,476.0,4,952,1636,3,1,440.0,191000,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9044,8,526.0,4,4,6,1225.0,5,1335,2538,4,1,933.0,330000,24,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
9600,5,0.0,3,3,4,390.0,3,1200,1200,3,0,246.0,129900,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9000,5,0.0,3,3,5,773.0,4,1059,1059,3,0,286.0,142500,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5664,8,0.0,4,4,6,1158.0,5,1659,1659,5,1,499.0,278000,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
13517,6,289.0,4,3,6,533.0,5,725,1479,4,0,475.0,130500,44,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10574,8,126.0,4,5,6,856.0,5,1170,2332,5,1,756.0,316000,16,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8750,6,120.0,3,4,6,606.0,5,928,1772,3,1,492.0,200000,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11050,7,0.0,3,4,1,0.0,5,910,1820,4,1,816.0,213000,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4740,8,0.0,4,4,6,248.0,4,1179,1179,3,0,480.0,182000,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12800,7,145.0,4,4,6,1518.0,4,1644,1644,4,1,569.0,275000,31,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
21750,5,0.0,3,3,1,0.0,5,988,988,3,0,520.0,113000,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13050,5,0.0,3,4,3,104.0,5,1000,1000,3,2,575.0,164000,57,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,6,0.0,3,4,1,0.0,4,763,1655,3,1,440.0,175900,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13383,5,176.0,3,3,4,594.0,5,1404,1404,3,1,504.0,160000,51,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10425,5,0.0,3,3,3,774.0,4,1104,1104,3,0,384.0,133000,64,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11096,8,0.0,4,4,6,24.0,5,1656,1656,4,0,826.0,249700,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5000,5,0.0,3,3,1,0.0,4,889,1440,3,0,352.0,79000,120,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10926,5,74.0,3,3,1,0.0,3,1678,1678,3,0,0.0,119900,61,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7733,6,0.0,3,3,6,24.0,5,1142,1142,4,0,0.0,139500,15,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
15750,8,260.0,4,4,6,1246.0,5,1513,1513,4,1,521.0,220000,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11777,5,97.0,3,3,2,328.0,5,1320,1320,3,2,564.0,164500,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8155,5,0.0,3,4,1,0.0,4,780,1200,3,0,0.0,119000,90,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8139,6,119.0,3,4,5,476.0,4,680,1470,3,1,420.0,165000,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7810,4,0.0,3,3,6,189.0,5,1230,1755,4,1,231.0,188000,90,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11000,5,0.0,3,4,2,1090.0,3,1178,1178,3,0,502.0,135000,44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8899,8,108.0,5,4,6,40.0,5,948,2088,4,1,656.0,250000,13,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8970,5,0.0,3,3,5,388.0,3,825,2140,3,1,549.0,177500,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7200,5,0.0,3,2,2,432.0,3,876,876,3,1,576.0,94000,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2217,4,0.0,3,3,4,273.0,3,546,1092,3,0,286.0,88000,50,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7200,5,0.0,3,3,4,437.0,5,864,864,3,0,297.0,119900,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5587,8,186.0,5,5,6,1480.0,5,1652,1652,4,1,482.0,392500,12,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1890,4,0.0,3,4,5,495.0,4,630,630,3,0,0.0,81000,48,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9360,6,203.0,3,3,5,760.0,3,976,976,4,1,504.0,157500,52,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5105,7,0.0,4,4,6,239.0,5,551,1102,4,0,480.0,148800,16,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
8544,3,0.0,3,0,0,0.0,2,1040,1040,3,0,400.0,81400,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19690,6,0.0,4,4,1,0.0,3,1575,2201,4,1,432.0,274970,54,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11088,6,144.0,3,3,5,832.0,4,1707,1707,3,1,479.0,184000,42,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10197,6,491.0,3,3,5,288.0,3,1362,1362,3,1,504.0,163000,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10440,6,0.0,4,4,2,493.0,5,1584,2792,3,2,520.0,256000,100,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
